ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,labPct,conPct,labPct15,conPct15,labChg,conChg,conLabSwing
E14000898,E12000008,Rochester and Strood,Kent,South East,England,County,09/06/2017 04:18,Con hold,Con,Lab,82702,53769,70,9850,29232,19382,1189,2893,781,0,0,0,0,0,0,0,292,0,0.360467928,0.543658986,0.197958717,0.440665702,0.16250921,0.102993284,0.029757963
E14000899,E12000006,Rochford and Southend East,Essex,East,England,County,09/06/2017 02:23,Con hold,Con,Lab,73501,47248,75,5548,23013,17465,1265,1777,804,0,0,0,0,0,0,0,2924,0,0.369645276,0.487068236,0.246858375,0.464157953,0.122786901,0.022910283,0.049938309
E14000900,E12000007,Romford,London,London,England,Borough,09/06/2017 02:47,Con hold,Con,Lab,73493,49944,126,13778,29671,15893,1215,2350,815,0,0,0,0,0,0,0,0,0,0.318216402,0.594085376,0.20879255,0.509719793,0.109423853,0.084365582,0.012529135
E14000901,E12000008,Romsey and Southampton North,Hampshire,South East,England,County,09/06/2017 03:26,Con hold,Con,LD,67186,50128,117,18046,28668,9614,10622,0,953,0,0,0,0,0,0,0,271,0,0.19178902,0.571895946,0.1187859,0.543100955,0.07300312,0.028794992,0.022104064
E14000902,E12000002,Rossendale and Darwen,Lancashire,North West,England,Borough,09/06/2017 04:07,Con hold,Con,Lab,72486,50156,134,3216,25499,22283,1550,0,824,0,0,0,0,0,0,0,0,0,0.444273866,0.508393811,0.350705777,0.466037043,0.093568089,0.042356768,0.02560566
S14000055,S92000003,"Ross, Skye and Lochaber",Scotland,Scotland,Scotland,County,09/06/2017 04:12,SNP hold,SNP,Con,53638,38454,49,5919,9561,4695,8042,0,0,15480,0,0,0,0,0,0,676,0,0.12209393,0.248634732,0.048862739,0.062136758,0.073231191,0.186497974,-0.056633392
E14000904,E12000003,Rotherham,South Yorkshire,Yorkshire and The Humber,England,Borough,09/06/2017 03:54,Lab hold,Lab,Con,63237,37923,83,11387,10017,21404,1754,3316,0,0,0,0,0,0,0,0,1432,0,0.564406824,0.264140495,0.525077334,0.123099701,0.03932949,0.141040794,-0.050855652
E14000903,E12000003,Rother Valley,South Yorkshire,Yorkshire and The Humber,England,County,09/06/2017 03:53,Lab hold,Lab,Con,75230,49488,107,3882,19939,23821,1155,3704,869,0,0,0,0,0,0,0,0,0,0.481349014,0.402905755,0.436015228,0.232778239,0.045333786,0.170127516,-0.062396865
E14000905,E12000005,Rugby,Warwickshire,West Midlands,England,County,09/06/2017 02:10,Con hold,Con,Lab,72175,51336,143,8212,27872,19660,2851,0,953,0,0,0,0,0,0,0,0,0,0.382967119,0.542932835,0.279455577,0.490552177,0.103511542,0.052380657,0.025565442
E14000906,E12000007,"Ruislip, Northwood and Pinner",London,London,England,Borough,09/06/2017 03:41,Con hold,Con,Lab,73427,53382,146,13980,30555,16575,3813,1171,1268,0,0,0,0,0,0,0,0,0,0.310497921,0.57238395,0.201026903,0.595857249,0.109471018,-0.023473299,0.066472159
E14000907,E12000008,Runnymede and Weybridge,Surrey,South East,England,County,09/06/2017 02:16,Con hold,Con,Lab,74888,51609,140,18050,31436,13386,3765,1675,1347,0,0,0,0,0,0,0,0,0,0.259373365,0.609118565,0.155178614,0.597398705,0.104194751,0.011719859,0.046237446
E14000908,E12000004,Rushcliffe,Nottinghamshire,East Midlands,England,County,09/06/2017 02:18,Con hold,Con,Lab,74738,58311,157,8010,30223,22213,2759,1490,1626,0,0,0,0,0,0,0,0,0,0.380940131,0.518307009,0.263305779,0.513994634,0.117634352,0.004312375,0.056660989
S14000056,S92000003,Rutherglen and Hamilton West,Scotland,Scotland,Scotland,Borough,09/06/2017 01:12,Lab gain from SNP,Lab,SNP,80098,50872,57,265,9941,19101,2158,465,0,18836,0,0,0,0,0,0,371,0,0.375471772,0.195412014,0.352408227,0.075501172,0.023063545,0.119910843,-0.048423649
